spi,cpi,er,house,apt,rc
679.70 ,91.49 ,1211.91 ,80.50 ,74.30 ,5.90 
699.80 ,91.91 ,1208.91 ,80.70 ,74.60 ,5.90 
631.00 ,92.50 ,1179.27 ,80.60 ,74.50 ,5.50 
591.60 ,93.01 ,1191.19 ,81.00 ,75.10 ,5.30 
550.80 ,94.12 ,1232.40 ,81.60 ,75.60 ,5.40 
585.90 ,93.95 ,1232.82 ,82.30 ,76.50 ,5.40 
613.50 ,93.78 ,1199.78 ,83.70 ,78.20 ,5.30 
663.20 ,93.52 ,1194.02 ,84.30 ,79.20 ,5.30 
703.50 ,93.44 ,1181.59 ,84.50 ,79.50 ,5.70 
731.70 ,93.86 ,1178.42 ,84.70 ,80.00 ,5.90 
742.30 ,94.71 ,1166.17 ,85.50 ,81.10 ,5.20 
756.50 ,94.80 ,1166.27 ,86.30 ,82.40 ,5.20 
789.10 ,94.63 ,1184.87 ,86.00 ,82.30 ,5.50 
801.20 ,95.05 ,1192.95 ,85.30 ,81.80 ,5.60 
845.50 ,95.64 ,1184.32 ,84.90 ,81.60 ,5.70 
867.50 ,96.07 ,1166.69 ,85.10 ,81.90 ,5.60 
875.60 ,97.00 ,1166.34 ,85.30 ,82.20 ,5.40 
907.10 ,97.00 ,1150.85 ,85.40 ,82.60 ,5.30 
798.80 ,96.92 ,1177.37 ,85.40 ,82.60 ,5.10 
771.60 ,96.92 ,1158.65 ,85.20 ,82.60 ,4.90 
746.10 ,97.51 ,1157.66 ,85.00 ,82.40 ,4.80 
770.30 ,98.36 ,1159.00 ,84.60 ,82.20 ,4.40 
835.90 ,98.36 ,1147.97 ,84.50 ,82.00 ,4.10 
849.10 ,98.36 ,1144.04 ,84.20 ,81.90 ,4.00 
863.10 ,97.77 ,1091.19 ,83.90 ,81.60 ,3.90 
873.10 ,97.94 ,1050.91 ,83.50 ,81.30 ,3.70 
903.40 ,98.90 ,1038.23 ,83.30 ,81.10 ,4.10 
964.50 ,99.30 ,1022.43 ,83.60 ,81.50 ,4.60 
988.20 ,99.90 ,1007.49 ,83.90 ,82.00 ,4.50 
955.40 ,100.00 ,1010.94 ,84.40 ,82.60 ,4.30 
939.00 ,99.90 ,1002.21 ,84.80 ,83.30 ,4.10 
991.30 ,99.60 ,1010.87 ,85.50 ,84.30 ,4.20 
1058.70 ,100.00 ,1037.44 ,86.20 ,85.20 ,4.50 
1101.80 ,100.30 ,1021.17 ,86.50 ,85.60 ,4.80 
